Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,27pF,C_0402_HandSolder,108.161529,-167.174485,-90,top
C2,27pF,C_0402_HandSolder,113.59,-165.72,0,top
C3,100nF,C_0402_HandSolder,125.211529,-168.721054,0,top
C4,100nF,C_0402_HandSolder,121.161529,-168.544485,180,top
C5,100nF,C_0402_HandSolder,121.211529,-156.694485,90,top
C6,1uF,C_0402_HandSolder,125.761529,-158.694485,0,top
C7,1uF,C_0402_HandSolder,125.761529,-159.744485,0,top
C8,100nF,C_0402_HandSolder,125.761529,-160.794485,0,top
C9,100nF,C_0402_HandSolder,116.261529,-158.594485,180,top
C10,100nF,C_0402_HandSolder,127.711528,-165.994485,-45,top
C11,100nF,C_0402_HandSolder,113.611529,-164.694485,180,top
C12,1uF,C_0402_HandSolder,125.311529,-215.294484,180,top
C13,1uF,C_0402_HandSolder,125.311529,-209.394485,0,top
C14,100nF,C_0402_HandSolder,124.829029,-147.894485,0,top
C500,1uF,C_0402_HandSolder,165.175776,-54.982159,90,top
C501,1uF,C_0402_HandSolder,165.175776,-57.802159,-90,top
C502,100nF,C_0402_HandSolder,228.825776,-108.382159,180,top
C503,1uF,C_0402_HandSolder,231.005776,-108.382159,180,top
C504,100nF,C_0402_HandSolder,218.855776,-109.092159,180,top
C505,1uF,C_0402_HandSolder,228.825776,-109.392159,180,top
C506,100nF,C_0402_HandSolder,243.785776,-110.052159,90,top
C507,100nF,C_0402_HandSolder,244.785776,-110.052159,90,top
C508,100nF,C_0402_HandSolder,228.675776,-112.082159,180,top
C509,100nF,C_0402_HandSolder,217.675776,-114.582159,90,top
C510,27pF,C_0402_HandSolder,245.835776,-114.472159,90,top
C511,27pF,C_0402_HandSolder,243.100776,-116.544659,180,top
C512,100nF,C_0402_HandSolder,231.055776,-116.972159,0,top
C513,100nF,C_0402_HandSolder,233.265776,-116.972159,180,top
D1,D,D_SOD-123,242.336529,-205.844485,0,top
D2,D,D_SOD-123,242.311528,-188.844485,0,top
D3,D,D_SOD-123,242.31153,-171.844485,0,top
D4,D,D_SOD-123,242.261529,-150.544485,0,top
D5,D,D_SOD-123,224.311529,-205.844485,0,top
D6,D,D_SOD-123,224.31153,-188.844485,0,top
D7,D,D_SOD-123,224.31153,-171.844485,0,top
D8,D,D_SOD-123,224.26153,-150.594485,0,top
D9,D,D_SOD-123,206.311529,-150.594485,0,top
D10,D,D_SOD-123,206.26153,-205.844485,0,top
D11,D,D_SOD-123,206.261529,-188.844485,0,top
D12,D,D_SOD-123,206.31153,-171.844485,0,top
D13,D,D_SOD-123,188.311529,-205.844485,0,top
D14,D,D_SOD-123,188.31153,-188.844485,0,top
D15,D,D_SOD-123,188.31153,-171.844485,0,top
D16,D,D_SOD-123,170.311529,-205.844485,0,top
D17,D,D_SOD-123,170.33653,-188.844485,0,top
D18,D,D_SOD-123,170.31153,-171.844485,0,top
D19,D,D_SOD-123,179.311529,-150.594485,0,top
D20,D,D_SOD-123,152.311529,-203.744485,0,top
D21,D,D_SOD-123,152.311529,-186.644485,0,top
D22,D,D_SOD-123,152.311529,-169.744485,0,top
D23,D,D_SOD-123,152.411529,-148.444485,0,top
D24,D,D_SOD-123,134.311529,-203.644485,0,top
D25,D,D_SOD-123,134.361529,-186.744485,0,top
D26,D,D_SOD-123,134.311529,-169.744485,0,top
D27,D,D_SOD-123,134.311529,-148.444485,0,top
D28,D,D_SOD-123,116.311529,-205.844485,0,top
D29,D,D_SOD-123,116.311529,-188.844485,0,top
D30,D,D_SOD-123,116.261529,-171.844485,0,top
D32,D,D_SOD-123,98.311529,-205.844485,0,top
D33,D,D_SOD-123,98.311529,-188.844485,0,top
D34,D,D_SOD-123,98.261529,-171.844485,0,top
D35,D,D_SOD-123,80.311529,-205.844485,0,top
D36,D,D_SOD-123,80.311529,-188.844485,0,top
D37,D,D_SOD-123,80.261529,-171.844485,0,top
D38,D,D_SOD-123,80.311529,-150.594486,0,top
D39,D,D_SOD-123,62.311529,-205.844485,0,top
D40,D,D_SOD-123,62.361529,-188.844485,0,top
D41,D,D_SOD-123,62.311529,-171.844485,0,top
D42,D,D_SOD-123,62.311529,-150.594486,0,top
D43,D,D_SOD-123,44.261529,-205.844485,0,top
D44,D,D_SOD-123,44.26153,-188.844485,0,top
D45,D,D_SOD-123,44.311529,-171.844485,0,top
D46,D,D_SOD-123,44.311529,-150.594485,0,top
D48,D,D_SOD-123,107.311529,-150.594486,0,top
D500,D,D_SOD-123,48.500776,-67.438409,90,top
D501,D,D_SOD-123,67.550776,-67.438409,90,top
D502,D,D_SOD-123,86.600776,-67.438409,90,top
D503,D,D_SOD-123,105.650776,-67.438409,90,top
D504,D,D_SOD-123,124.700776,-67.438409,90,top
D505,D,D_SOD-123,143.675776,-67.419659,90,top
D506,D,D_SOD-123,162.800776,-67.438409,90,top
D507,D,D_SOD-123,181.850776,-67.438409,90,top
D508,D,D_SOD-123,200.900776,-67.438409,90,top
D509,D,D_SOD-123,219.950776,-67.438409,90,top
D510,D,D_SOD-123,239.000776,-67.438409,90,top
D511,D,D_SOD-123,248.525776,-72.200909,90,top
D512,D,D_SOD-123,48.500776,-86.488409,90,top
D513,D,D_SOD-123,67.550776,-86.488409,90,top
D514,D,D_SOD-123,86.600776,-86.488409,90,top
D515,D,D_SOD-123,105.650776,-86.488409,90,top
D516,D,D_SOD-123,124.700776,-86.488409,90,top
D517,D,D_SOD-123,143.675776,-86.469659,90,top
D518,D,D_SOD-123,162.800776,-86.488409,90,top
D519,D,D_SOD-123,181.850776,-86.488409,90,top
D520,D,D_SOD-123,200.900776,-86.488409,90,top
D521,D,D_SOD-123,219.950776,-86.488409,90,top
D522,D,D_SOD-123,239.000776,-86.488409,90,top
D523,D,D_SOD-123,248.525776,-91.250909,90,top
D524,D,D_SOD-123,239.005776,-103.138409,90,top
D525,D,D_SOD-123,48.500776,-105.538409,90,top
D526,D,D_SOD-123,67.550776,-105.538409,90,top
D527,D,D_SOD-123,86.600776,-105.538409,90,top
D528,D,D_SOD-123,105.650776,-105.538409,90,top
D529,D,D_SOD-123,124.700776,-105.538409,90,top
D530,D,D_SOD-123,143.675776,-105.519659,90,top
D531,D,D_SOD-123,162.800776,-105.538409,90,top
D532,D,D_SOD-123,181.850776,-105.538409,90,top
D533,D,D_SOD-123,200.900776,-105.538409,90,top
D534,D,D_SOD-123,219.950776,-105.538409,90,top
D535,D,D_SOD-123,248.525776,-111.032159,90,top
