Comment,Designator,Footprint,LCSC
1uF,"C500,C501,C503,C505",Capacitor_SMD:C_0402_1005Metric,C52923
100nF,"C502,C504,C506,C507,C508,C509,C512,C513",Capacitor_SMD:C_0402_1005Metric,C1525
27pF,"C510,C511",Capacitor_SMD:C_0402_1005Metric,C1557
D,"D500,D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511,D512,D513,D514,D515,D516,D517,D518,D519,D520,D521,D522,D523,D524,D525,D526,D527,D528,D529,D530,D531,D532,D533,D534,D535,D536,D537,D538,D539,D540,D541,D542,D543,D544,D545,D546,D547",weteor:D_SOD-123,C81598
USB_C_Receptacle_USB2.0,J500,weteor:USB-C-31-M-14_C22,C165948
5.1k,"R500,R501",Resistor_SMD:R_0402_1005Metric,C25905
27R,"R502,R503",Resistor_SMD:R_0402_1005Metric,C100353
1k,"R504,R505,R506",Resistor_SMD:R_0402_1005Metric,C11702
10k,R507,Resistor_SMD:R_0402_1005Metric,C25744
XC6206PxxxMR,U500,Package_TO_SOT_SMD:SOT-23,C5446
USBLC6-2SC6,U501,Package_TO_SOT_SMD:SOT-23-6,C2827654
W25Q128JVS,U502,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C97521
RP2040,U503,RP2040_minimal:RP2040-QFN-56,C2040
Crystal_GND24_Small,Y500,Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm,C284156
