Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C500,1uF,C_0402_HandSolder,164.3,-56.6,90,top
C501,1uF,C_0402_HandSolder,164.3,-59.42,-90,top
C502,100nF,C_0402_HandSolder,227.95,-110,180,top
C503,1uF,C_0402_HandSolder,230.13,-110,180,top
C504,100nF,C_0402_HandSolder,217.98,-110.71,180,top
C505,1uF,C_0402_HandSolder,227.95,-111.01,180,top
C506,100nF,C_0402_HandSolder,242.91,-111.67,90,top
C507,100nF,C_0402_HandSolder,243.91,-111.67,90,top
C508,100nF,C_0402_HandSolder,227.8,-113.7,180,top
C509,100nF,C_0402_HandSolder,216.8,-116.2,90,top
C510,27pF,C_0402_HandSolder,244.96,-116.09,90,top
C511,27pF,C_0402_HandSolder,242.225,-118.1625,180,top
C512,100nF,C_0402_HandSolder,230.18,-118.59,0,top
C513,100nF,C_0402_HandSolder,232.39,-118.59,180,top
D500,D,D_SOD-123,47.625,-69.05625,90,top
D501,D,D_SOD-123,66.675,-69.05625,90,top
D502,D,D_SOD-123,85.725,-69.05625,90,top
D503,D,D_SOD-123,104.775,-69.05625,90,top
D504,D,D_SOD-123,123.825,-69.05625,90,top
D505,D,D_SOD-123,142.8,-69.0375,90,top
D506,D,D_SOD-123,161.925,-69.05625,90,top
D507,D,D_SOD-123,180.975,-69.05625,90,top
D508,D,D_SOD-123,200.025,-69.05625,90,top
D509,D,D_SOD-123,219.075,-69.05625,90,top
D510,D,D_SOD-123,238.125,-69.05625,90,top
D511,D,D_SOD-123,247.65,-73.81875,90,top
D512,D,D_SOD-123,47.625,-88.10625,90,top
D513,D,D_SOD-123,66.675,-88.10625,90,top
D514,D,D_SOD-123,85.725,-88.10625,90,top
D515,D,D_SOD-123,104.775,-88.10625,90,top
D516,D,D_SOD-123,123.825,-88.10625,90,top
D517,D,D_SOD-123,142.8,-88.0875,90,top
D518,D,D_SOD-123,161.925,-88.10625,90,top
D519,D,D_SOD-123,180.975,-88.10625,90,top
D520,D,D_SOD-123,200.025,-88.10625,90,top
D521,D,D_SOD-123,219.075,-88.10625,90,top
D522,D,D_SOD-123,238.125,-88.10625,90,top
D523,D,D_SOD-123,247.65,-92.86875,90,top
D524,D,D_SOD-123,238.13,-104.75625,90,top
D525,D,D_SOD-123,47.625,-107.15625,90,top
D526,D,D_SOD-123,66.675,-107.15625,90,top
D527,D,D_SOD-123,85.725,-107.15625,90,top
D528,D,D_SOD-123,104.775,-107.15625,90,top
D529,D,D_SOD-123,123.825,-107.15625,90,top
D530,D,D_SOD-123,142.8,-107.1375,90,top
D531,D,D_SOD-123,161.925,-107.15625,90,top
D532,D,D_SOD-123,180.975,-107.15625,90,top
D533,D,D_SOD-123,200.025,-107.15625,90,top
D534,D,D_SOD-123,219.075,-107.15625,90,top
D535,D,D_SOD-123,247.65,-112.65,90,top
D536,D,D_SOD-123,47.625,-130.96875,90,top
D537,D,D_SOD-123,66.675,-130.96875,90,top
D538,D,D_SOD-123,85.725,-130.96875,90,top
D539,D,D_SOD-123,104.775,-130.96875,90,top
D540,D,D_SOD-123,123.825,-130.96875,90,top
D541,D,D_SOD-123,142.875,-130.96875,90,top
D542,D,D_SOD-123,161.925,-130.96875,90,top
D543,D,D_SOD-123,180.975,-130.96875,90,top
D544,D,D_SOD-123,200.025,-130.96875,90,top
D545,D,D_SOD-123,219.075,-130.96875,90,top
D546,D,D_SOD-123,237,-130.9,90,top
D547,D,D_SOD-123,239.3,-130.9,90,top
J500,USB_C_Receptacle_USB2.0,USB C-31-M-12,142.85,-57.4875,180,top
R500,5.1k,R_0402_HandSolder,139.8,-62.413126,-90,top
R501,5.1k,R_0402_HandSolder,145.24,-61.8,-90,top
R502,27R,R_0402_HandSolder,227.7,-112.1,180,top
R503,27R,R_0402_HandSolder,230.109999,-113.1,180,top
R504,1k,R_0402_HandSolder,244.95,-113.86,90,top
R505,1k,R_0402_HandSolder,217.8,-116.2,-90,top
R506,1k,R_0402_HandSolder,227.1,-117.54,180,top
R507,10k,R_0402_HandSolder,227.95,-118.58,0,top
U500,XC6206PxxxMR,SOT-23,161.975,-57.98125,90,top
U501,USBLC6-2SC6,SOT-23-6,142.875,-64.013126,-90,top
U502,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,222,-114.3,90,top
U503,RP2040,RP2040-QFN-56,235.375,-113.8,90,top
Y500,Crystal_GND24_Small,Crystal_SMD_2520-4Pin_2.5x2.0mm,242.65,-116.08125,0,top
